_unit_id,_worker_id,video1_score,video2_score,video1_fname,video2_fname
3483614061,47100814,score_1,score_1,hc9qqD0hjvw_output_06_6.mp4,hc9qqD0hjvw_output_06_3.mp4
3483614061,47310444,score_2,score_2,hc9qqD0hjvw_output_06_6.mp4,hc9qqD0hjvw_output_06_3.mp4
3483614061,47278508,score_3,score_1,hc9qqD0hjvw_output_06_6.mp4,hc9qqD0hjvw_output_06_3.mp4
3498040325,46635988,score_3,score_2,3PzvNHht_2M_output_02_9.mp4,3PzvNHht_2M_output_09_2.mp4
3498040325,46115803,score_4,score_5,3PzvNHht_2M_output_02_9.mp4,3PzvNHht_2M_output_09_2.mp4
3498040325,46544591,score_3,score_4,3PzvNHht_2M_output_02_9.mp4,3PzvNHht_2M_output_09_2.mp4
3483614063,47310444,score_4,score_2,ayIocWNmVqw_output_02_3.mp4,ayIocWNmVqw_output_04_9.mp4
3483614063,46267622,score_2,score_1,ayIocWNmVqw_output_02_3.mp4,ayIocWNmVqw_output_04_9.mp4
3483614063,47078602,score_4,score_1,ayIocWNmVqw_output_02_3.mp4,ayIocWNmVqw_output_04_9.mp4
3483614064,47111865,score_4,score_3,Ia6C4k0o2hc_output_04_4.mp4,Ia6C4k0o2hc_output_04_2.mp4
3483614064,47278508,score_3,score_4,Ia6C4k0o2hc_output_04_4.mp4,Ia6C4k0o2hc_output_04_2.mp4
3483614064,47100814,score_3,score_3,Ia6C4k0o2hc_output_04_4.mp4,Ia6C4k0o2hc_output_04_2.mp4
3498038796,46949593,score_5,score_3,4GGUH7ykdCg_output_02_0.mp4,4GGUH7ykdCg_output_02_9.mp4
3498038796,47316872,score_4,score_2,4GGUH7ykdCg_output_02_0.mp4,4GGUH7ykdCg_output_02_9.mp4
3498038796,46125237,score_5,score_5,4GGUH7ykdCg_output_02_0.mp4,4GGUH7ykdCg_output_02_9.mp4
3498040326,46949593,score_5,score_3,JJFbs0sC8Hk_output_02_1.mp4,JJFbs0sC8Hk_output_09_4.mp4
3498040326,46412821,score_5,score_3,JJFbs0sC8Hk_output_02_1.mp4,JJFbs0sC8Hk_output_09_4.mp4
3498040326,46799877,score_5,score_4,JJFbs0sC8Hk_output_02_1.mp4,JJFbs0sC8Hk_output_09_4.mp4
3498038797,46633654,score_4,score_3,J0RzvGnQxD0_output_07_9.mp4,J0RzvGnQxD0_output_07_5.mp4
3498038797,46123564,score_4,score_3,J0RzvGnQxD0_output_07_9.mp4,J0RzvGnQxD0_output_07_5.mp4
3498038797,46544591,score_3,score_2,J0RzvGnQxD0_output_07_9.mp4,J0RzvGnQxD0_output_07_5.mp4
3483614068,47111865,score_1,score_1,46zbt7TQHRs_output_06_4.mp4,46zbt7TQHRs_output_09_7.mp4
3483614068,47100814,score_1,score_1,46zbt7TQHRs_output_06_4.mp4,46zbt7TQHRs_output_09_7.mp4
3483614068,47310381,score_1,score_5,46zbt7TQHRs_output_06_4.mp4,46zbt7TQHRs_output_09_7.mp4
3498038798,46560350,score_5,score_3,q_r5aeusqoM_output_04_2.mp4,q_r5aeusqoM_output_05_6.mp4
3498038798,46115803,score_4,score_5,q_r5aeusqoM_output_04_2.mp4,q_r5aeusqoM_output_05_6.mp4
3498038798,46046462,score_4,score_3,q_r5aeusqoM_output_04_2.mp4,q_r5aeusqoM_output_05_6.mp4
3483614070,46547473,score_3,score_1,J0RzvGnQxD0_output_06_7.mp4,J0RzvGnQxD0_output_06_1.mp4
3483614070,47100814,score_2,score_1,J0RzvGnQxD0_output_06_7.mp4,J0RzvGnQxD0_output_06_1.mp4
3483614070,46995204,score_2,score_1,J0RzvGnQxD0_output_06_7.mp4,J0RzvGnQxD0_output_06_1.mp4
3498040327,46560350,score_1,score_3,hc9qqD0hjvw_output_06_1.mp4,hc9qqD0hjvw_output_09_7.mp4
3498040327,46579189,score_4,score_5,hc9qqD0hjvw_output_06_1.mp4,hc9qqD0hjvw_output_09_7.mp4
3498040327,46412821,score_1,score_2,hc9qqD0hjvw_output_06_1.mp4,hc9qqD0hjvw_output_09_7.mp4
3483614072,47116786,score_5,score_1,oHKTmTLEy68_output_03_2.mp4,oHKTmTLEy68_output_06_0.mp4
3483614072,46140132,score_4,score_1,oHKTmTLEy68_output_03_2.mp4,oHKTmTLEy68_output_06_0.mp4
3483614072,46638364,score_4,score_5,oHKTmTLEy68_output_03_2.mp4,oHKTmTLEy68_output_06_0.mp4
3483614073,46267663,score_3,score_1,ieZVo7W3BQ4_output_04_3.mp4,ieZVo7W3BQ4_output_04_9.mp4
3483614073,47240154,score_5,score_1,ieZVo7W3BQ4_output_04_3.mp4,ieZVo7W3BQ4_output_04_9.mp4
3483614073,46638364,score_4,score_5,ieZVo7W3BQ4_output_04_3.mp4,ieZVo7W3BQ4_output_04_9.mp4
3483614074,47310381,score_2,score_2,24tWz7gmngI_output_07_6.mp4,24tWz7gmngI_output_07_4.mp4
3483614074,46267663,score_2,score_3,24tWz7gmngI_output_07_6.mp4,24tWz7gmngI_output_07_4.mp4
3483614074,47100814,score_2,score_2,24tWz7gmngI_output_07_6.mp4,24tWz7gmngI_output_07_4.mp4
3483614075,47310444,score_4,score_2,rsrWBquU8bc_output_02_3.mp4,rsrWBquU8bc_output_08_0.mp4
3483614075,46547473,score_4,score_3,rsrWBquU8bc_output_02_3.mp4,rsrWBquU8bc_output_08_0.mp4
3483614075,45610150,score_4,score_2,rsrWBquU8bc_output_02_3.mp4,rsrWBquU8bc_output_08_0.mp4
3483614076,46140132,score_1,score_4,MgD5JedaXGs_output_03_7.mp4,MgD5JedaXGs_output_08_5.mp4
3483614076,47227806,score_1,score_5,MgD5JedaXGs_output_03_7.mp4,MgD5JedaXGs_output_08_5.mp4
3483614076,47310444,score_3,score_5,MgD5JedaXGs_output_03_7.mp4,MgD5JedaXGs_output_08_5.mp4
3483614077,47310444,score_3,score_3,31c2kosdtuo_output_05_4.mp4,31c2kosdtuo_output_05_5.mp4
3483614077,47116786,score_2,score_2,31c2kosdtuo_output_05_4.mp4,31c2kosdtuo_output_05_5.mp4
3483614077,46583822,score_1,score_1,31c2kosdtuo_output_05_4.mp4,31c2kosdtuo_output_05_5.mp4
3498038799,47314527,score_5,score_4,MQtUV_cFcm8_output_08_4.mp4,MQtUV_cFcm8_output_08_1.mp4
3498038799,47238472,score_5,score_5,MQtUV_cFcm8_output_08_4.mp4,MQtUV_cFcm8_output_08_1.mp4
3498038799,46957025,score_5,score_4,MQtUV_cFcm8_output_08_4.mp4,MQtUV_cFcm8_output_08_1.mp4
3483614079,45610150,score_3,score_1,bAJrcYJgllE_output_09_0.mp4,bAJrcYJgllE_original.mp4
3483614079,47310381,score_3,score_3,bAJrcYJgllE_output_09_0.mp4,bAJrcYJgllE_original.mp4
3483614079,47310444,score_2,score_2,bAJrcYJgllE_output_09_0.mp4,bAJrcYJgllE_original.mp4
3483614080,47310444,score_4,score_5,b6WMJMU_m90_output_04_9.mp4,b6WMJMU_m90_output_04_4.mp4
3483614080,46267663,score_1,score_4,b6WMJMU_m90_output_04_9.mp4,b6WMJMU_m90_output_04_4.mp4
3483614080,46547473,score_1,score_4,b6WMJMU_m90_output_04_9.mp4,b6WMJMU_m90_output_04_4.mp4
