video_name,score
-ocADGlyaHc_original.mp4,1.0
-ocADGlyaHc_output_01_2.mp4,0.8055000000000001
-ocADGlyaHc_output_01_3.mp4,0.91675
-ocADGlyaHc_output_01_4.mp4,0.91675
-ocADGlyaHc_output_01_6.mp4,0.83325
-ocADGlyaHc_output_01_9.mp4,0.25
-ocADGlyaHc_output_02_0.mp4,0.83325
-ocADGlyaHc_output_02_1.mp4,1.0
-ocADGlyaHc_output_02_4.mp4,0.75
-ocADGlyaHc_output_02_5.mp4,0.66675
-ocADGlyaHc_output_02_6.mp4,0.58325
-ocADGlyaHc_output_02_7.mp4,0.625
-ocADGlyaHc_output_02_8.mp4,0.5
-ocADGlyaHc_output_02_9.mp4,0.5
-ocADGlyaHc_output_03_0.mp4,1.0
-ocADGlyaHc_output_03_1.mp4,0.83325
-ocADGlyaHc_output_03_3.mp4,0.6945
-ocADGlyaHc_output_03_4.mp4,0.75
-ocADGlyaHc_output_03_5.mp4,0.75
-ocADGlyaHc_output_03_6.mp4,0.75
-ocADGlyaHc_output_03_7.mp4,0.58325
-ocADGlyaHc_output_03_8.mp4,0.5
-ocADGlyaHc_output_03_9.mp4,0.0832499999999999
-ocADGlyaHc_output_04_1.mp4,0.91675
-ocADGlyaHc_output_04_2.mp4,0.91675
-ocADGlyaHc_output_04_3.mp4,0.91675
-ocADGlyaHc_output_04_4.mp4,0.66675
-ocADGlyaHc_output_04_5.mp4,0.75
-ocADGlyaHc_output_04_6.mp4,0.8167500000000001
-ocADGlyaHc_output_04_7.mp4,0.91675
-ocADGlyaHc_output_04_8.mp4,0.25
-ocADGlyaHc_output_04_9.mp4,0.0
-ocADGlyaHc_output_05_0.mp4,0.83325
-ocADGlyaHc_output_05_1.mp4,1.0
-ocADGlyaHc_output_05_2.mp4,0.66675
-ocADGlyaHc_output_05_3.mp4,0.75
-ocADGlyaHc_output_05_4.mp4,1.0
-ocADGlyaHc_output_05_5.mp4,0.75
-ocADGlyaHc_output_05_6.mp4,0.5625
-ocADGlyaHc_output_05_8.mp4,0.0
-ocADGlyaHc_output_05_9.mp4,0.0
-ocADGlyaHc_output_06_0.mp4,0.0
-ocADGlyaHc_output_06_1.mp4,0.0832499999999999
-ocADGlyaHc_output_06_3.mp4,0.0
-ocADGlyaHc_output_06_5.mp4,0.375
-ocADGlyaHc_output_06_6.mp4,0.25
-ocADGlyaHc_output_06_7.mp4,0.512
-ocADGlyaHc_output_06_8.mp4,0.66675
-ocADGlyaHc_output_06_9.mp4,0.75
-ocADGlyaHc_output_07_0.mp4,0.25
-ocADGlyaHc_output_07_1.mp4,0.5
-ocADGlyaHc_output_07_2.mp4,0.375
-ocADGlyaHc_output_07_3.mp4,0.611
-ocADGlyaHc_output_07_4.mp4,0.375
-ocADGlyaHc_output_07_5.mp4,0.45825
-ocADGlyaHc_output_07_7.mp4,0.639
-ocADGlyaHc_output_07_8.mp4,0.58325
-ocADGlyaHc_output_07_9.mp4,0.75
-ocADGlyaHc_output_08_0.mp4,0.0
-ocADGlyaHc_output_08_2.mp4,0.7
-ocADGlyaHc_output_08_3.mp4,0.91675
-ocADGlyaHc_output_08_4.mp4,0.8055000000000001
-ocADGlyaHc_output_08_6.mp4,0.91675
-ocADGlyaHc_output_08_7.mp4,0.8055000000000001
-ocADGlyaHc_output_08_8.mp4,0.66675
-ocADGlyaHc_output_08_9.mp4,0.83325
-ocADGlyaHc_output_09_0.mp4,0.5
-ocADGlyaHc_output_09_1.mp4,0.25
-ocADGlyaHc_output_09_2.mp4,0.16675
-ocADGlyaHc_output_09_3.mp4,0.75
-ocADGlyaHc_output_09_4.mp4,0.58325
-ocADGlyaHc_output_09_6.mp4,0.4167499999999999
-ocADGlyaHc_output_09_7.mp4,0.66675
-ocADGlyaHc_output_09_8.mp4,0.70825
-ocADGlyaHc_output_09_9.mp4,0.75
00z0M1DJyAw_original.mp4,1.0
00z0M1DJyAw_output_01_0.mp4,0.0832499999999999
00z0M1DJyAw_output_01_2.mp4,0.70825
00z0M1DJyAw_output_01_3.mp4,0.75
00z0M1DJyAw_output_01_4.mp4,0.75
00z0M1DJyAw_output_01_5.mp4,0.83325
00z0M1DJyAw_output_01_6.mp4,0.75
00z0M1DJyAw_output_01_7.mp4,0.25
00z0M1DJyAw_output_01_8.mp4,0.25
00z0M1DJyAw_output_01_9.mp4,0.25
00z0M1DJyAw_output_02_0.mp4,0.83325
00z0M1DJyAw_output_02_1.mp4,0.91675
00z0M1DJyAw_output_02_2.mp4,0.66675
00z0M1DJyAw_output_02_3.mp4,0.66675
00z0M1DJyAw_output_02_4.mp4,0.75
00z0M1DJyAw_output_02_5.mp4,0.6945
00z0M1DJyAw_output_02_6.mp4,0.5
00z0M1DJyAw_output_02_7.mp4,0.83325
00z0M1DJyAw_output_02_8.mp4,0.5
00z0M1DJyAw_output_02_9.mp4,0.5
00z0M1DJyAw_output_03_0.mp4,1.0
00z0M1DJyAw_output_03_1.mp4,0.83325
00z0M1DJyAw_output_03_2.mp4,0.7777499999999999
00z0M1DJyAw_output_03_3.mp4,0.58325
00z0M1DJyAw_output_03_4.mp4,0.6945
00z0M1DJyAw_output_03_5.mp4,0.66675
00z0M1DJyAw_output_03_6.mp4,0.91675
00z0M1DJyAw_output_03_7.mp4,0.75
00z0M1DJyAw_output_03_9.mp4,0.0
00z0M1DJyAw_output_04_0.mp4,1.0
00z0M1DJyAw_output_04_1.mp4,0.83325
00z0M1DJyAw_output_04_2.mp4,0.66675
00z0M1DJyAw_output_04_5.mp4,0.861
00z0M1DJyAw_output_04_6.mp4,0.70825
00z0M1DJyAw_output_04_7.mp4,0.58325
00z0M1DJyAw_output_04_8.mp4,0.0
00z0M1DJyAw_output_04_9.mp4,0.0
00z0M1DJyAw_output_05_0.mp4,1.0
00z0M1DJyAw_output_05_1.mp4,0.91675
00z0M1DJyAw_output_05_2.mp4,0.58325
00z0M1DJyAw_output_05_3.mp4,0.75
00z0M1DJyAw_output_05_4.mp4,0.75
00z0M1DJyAw_output_05_5.mp4,0.66675
00z0M1DJyAw_output_05_6.mp4,0.66675
00z0M1DJyAw_output_05_7.mp4,0.625
00z0M1DJyAw_output_05_8.mp4,0.5
00z0M1DJyAw_output_05_9.mp4,0.0
00z0M1DJyAw_output_06_0.mp4,0.0
00z0M1DJyAw_output_06_1.mp4,0.0
00z0M1DJyAw_output_06_2.mp4,0.16675
00z0M1DJyAw_output_06_3.mp4,0.22225
00z0M1DJyAw_output_06_4.mp4,0.10425
00z0M1DJyAw_output_06_5.mp4,0.75
00z0M1DJyAw_output_06_6.mp4,0.5
00z0M1DJyAw_output_06_7.mp4,0.66675
00z0M1DJyAw_output_06_8.mp4,0.79175
00z0M1DJyAw_output_06_9.mp4,0.83325
